Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain
1970,Graduation,Divorced,84835.0,0,0,3121,0,189,104,379,111,189,218,1,4,4,6,1,1,0
1961,Graduation,Single,57091.0,0,0,3122,0,464,5,64,7,0,37,1,7,3,7,5,1,0
1958,Graduation,Married,67267.0,0,1,3155,0,134,11,59,15,2,30,1,3,2,5,2,0,0
1967,Graduation,Together,32474.0,1,1,2979,0,10,0,1,0,0,0,1,1,0,2,7,0,0
1989,Graduation,Single,21474.0,1,0,3072,0,6,16,24,11,0,34,2,3,1,2,7,1,0
1958,PhD,Single,71691.0,0,0,3212,0,336,130,411,240,32,43,1,4,7,5,2,1,0
1954,2n Cycle,Married,63564.0,0,0,3259,0,769,80,252,15,34,65,1,10,10,7,6,1,0
1967,Graduation,Together,44931.0,0,1,3270,0,78,0,11,0,0,7,1,2,1,3,5,0,0
1954,PhD,Married,65324.0,0,1,2983,0,384,0,102,21,32,5,3,6,2,9,4,0,0
1954,PhD,Married,65324.0,0,1,2983,0,384,0,102,21,32,5,3,6,2,9,4,0,0
1947,2n Cycle,Married,81044.0,0,0,3292,0,450,26,535,73,98,26,1,5,6,10,1,0,0
1979,Master,Together,62499.0,1,0,3398,0,140,4,61,0,13,4,2,3,1,6,4,0,0
1959,PhD,Widow,67786.0,0,0,3460,0,431,82,441,80,20,102,1,3,6,6,1,1,0
1981,Graduation,Married,26872.0,0,0,3364,0,3,10,8,3,16,32,1,1,1,2,6,0,0
1969,Graduation,Married,4428.0,0,1,3523,0,16,4,12,2,4,321,0,25,0,0,1,0,0
1977,Graduation,Married,54809.0,1,1,3340,0,63,6,57,13,13,22,4,2,1,5,4,0,0
1977,Graduation,Married,54809.0,1,1,3340,0,63,6,57,13,13,22,4,2,1,5,4,1,0
1958,PhD,Divorced,32173.0,0,1,3645,0,18,0,2,0,0,2,1,1,0,3,4,0,0
1960,2n Cycle,Single,47823.0,0,1,3449,0,53,1,5,2,1,10,2,2,0,3,8,0,0
1958,Master,Single,30523.0,2,1,3646,0,5,0,3,0,0,5,1,1,0,2,7,0,0
1954,Master,Together,36634.0,0,1,3505,0,213,9,76,4,3,30,3,5,2,5,7,0,0
1966,Master,Single,43456.0,0,1,3568,0,275,11,68,25,7,7,3,5,1,8,5,0,0
1979,Master,Married,40662.0,1,0,3579,0,40,2,23,0,4,23,2,2,1,3,4,0,0
1976,PhD,Married,49544.0,1,0,3317,0,308,0,73,0,0,23,2,5,1,8,7,0,0
1969,Graduation,Single,57731.0,0,1,3691,0,266,21,300,65,8,44,4,8,8,6,6,0,0
1965,Master,Single,33168.0,0,1,3732,0,80,1,37,0,1,3,3,2,1,4,7,0,0
1956,Graduation,Together,54450.0,1,1,3761,0,454,0,171,8,19,32,12,9,2,8,8,0,0
1956,Graduation,Together,54450.0,1,1,3761,0,454,0,171,8,19,32,12,9,2,8,8,0,0
1956,PhD,Widow,35340.0,1,1,3108,1,27,0,12,0,1,5,2,2,0,3,5,0,0
1975,Graduation,Single,73170.0,0,0,3137,1,184,174,256,50,30,32,1,5,4,6,2,0,0
